model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 T-Roc,2018,Manual,7389,Petrol,145,53.3,1.5,19489
 T-Roc,2018,Manual,16775,Petrol,145,53.3,1.5,21489
 T-Roc,2020,Manual,3800,Diesel,150,50.4,1.6,20989
 T-Roc,2019,Manual,6000,Petrol,145,44.1,1,19950
 T-Roc,2019,Manual,4800,Diesel,145,46.3,2,23950
 T-Roc,2018,Manual,23385,Diesel,145,56.5,2,20489
 T-Roc,2018,Manual,16735,Petrol,145,53.3,1.5,20998
 T-Roc,2018,Manual,30214,Petrol,145,55.4,1,16995
 T-Roc,2018,Manual,15307,Petrol,145,53.3,1.5,18995
 T-Roc,2018,Manual,9128,Petrol,145,44.1,1,18498
 T-Roc,2019,Manual,14,Diesel,150,50.4,1.6,21498
 T-Roc,2017,Manual,17954,Petrol,150,60.1,1,11489
 T-Roc,2019,Semi-Auto,3167,Petrol,145,32.5,2,32998
 T-Roc,2018,Manual,9076,Petrol,145,53.3,1.5,21991
 T-Roc,2019,Semi-Auto,1400,Petrol,145,51.4,1.5,26250
 T-Roc,2019,Automatic,5000,Petrol,145,39.8,1.5,22450
 T-Roc,2019,Manual,1689,Diesel,145,50.4,1.6,19450
 T-Roc,2019,Manual,3000,Diesel,145,50.4,2,21291
 T-Roc,2019,Manual,5000,Diesel,145,50.4,1.6,19950
 T-Roc,2019,Manual,13697,Petrol,150,44.1,1,18998
 T-Roc,2019,Semi-Auto,5000,Petrol,150,39.8,1.5,22950
 T-Roc,2018,Manual,20150,Petrol,145,55.4,1,17491
 T-Roc,2018,Manual,8800,Petrol,145,44.1,1,18250
 T-Roc,2019,Manual,8325,Diesel,145,50.4,1.6,21750
 T-Roc,2019,Manual,49,Diesel,145,50.4,1.6,21995
 T-Roc,2019,Manual,5876,Diesel,145,50.4,1.6,22250
 T-Roc,2019,Manual,2966,Diesel,145,50.4,2,22995
 T-Roc,2019,Automatic,2150,Petrol,145,34.5,2,28495
 T-Roc,2018,Manual,18151,Petrol,145,55.4,1,16975
 T-Roc,2019,Manual,461,Diesel,145,50.4,1.6,21495
 T-Roc,2018,Manual,8350,Petrol,145,55.4,1,19495
 T-Roc,2019,Manual,9999,Diesel,145,50.4,1.6,23070
 T-Roc,2019,Manual,5511,Diesel,145,46.3,2,22691
 T-Roc,2018,Manual,7512,Petrol,145,55.4,1,18591
 T-Roc,2019,Manual,2974,Diesel,145,50.4,2,22495
 T-Roc,2019,Automatic,6362,Diesel,145,49.6,2,22995
 T-Roc,2019,Manual,3014,Diesel,145,50.4,1.6,21495
 T-Roc,2019,Manual,4417,Diesel,145,50.4,1.6,21495
 T-Roc,2019,Semi-Auto,4112,Diesel,150,49.6,2,23995
 T-Roc,2018,Manual,13750,Diesel,150,50.4,1.6,21495
 T-Roc,2017,Manual,20706,Petrol,0,65.7,1,13995
 T-Roc,2020,Semi-Auto,2964,Petrol,150,39.8,1.5,26995
 T-Roc,2018,Manual,20961,Petrol,145,55.4,1,17995
 T-Roc,2018,Manual,9898,Petrol,145,53.3,1.5,21995
 T-Roc,2018,Manual,14505,Diesel,145,56.5,2,20500
 T-Roc,2019,Manual,1647,Petrol,145,42.2,1.5,23499
 T-Roc,2019,Manual,4000,Diesel,145,50.4,2,20995
 T-Roc,2018,Manual,11657,Petrol,145,55.4,1,16999
 T-Roc,2018,Manual,5215,Petrol,145,53.3,1.5,21495
 T-Roc,2020,Manual,4000,Petrol,145,42.2,1.5,20995
 T-Roc,2018,Semi-Auto,20709,Petrol,150,52.3,1.5,19995
 T-Roc,2018,Manual,6400,Petrol,150,55.4,1,17999
 T-Roc,2020,Manual,5000,Petrol,145,42.2,1.5,21999
 T-Roc,2018,Manual,23975,Petrol,145,53.3,1.5,19995
 T-Roc,2018,Manual,15220,Diesel,150,56.5,2,18990
 T-Roc,2018,Semi-Auto,18023,Petrol,150,41.5,2,22995
 T-Roc,2018,Manual,18080,Petrol,145,55.4,1,17995
 T-Roc,2019,Manual,5102,Diesel,145,50.4,2,20995
 T-Roc,2020,Manual,5120,Diesel,145,50.4,1.6,21995
 T-Roc,2019,Manual,8000,Petrol,145,44.1,1,17999
 T-Roc,2020,Manual,5000,Petrol,145,44.1,1.5,25999
 T-Roc,2019,Manual,4693,Diesel,145,46.3,2,21799
 T-Roc,2018,Manual,20645,Petrol,145,53.3,1.5,19999
 T-Roc,2018,Manual,6108,Petrol,145,53.3,1.5,19999
 T-Roc,2020,Manual,501,Petrol,145,44.1,1,20499
 T-Roc,2018,Manual,25380,Diesel,150,56.5,2,19499
 T-Roc,2018,Manual,10202,Petrol,145,53.3,1.5,20499
 T-Roc,2018,Manual,23374,Petrol,145,53.3,1.5,17999
 T-Roc,2019,Automatic,5000,Petrol,145,39.8,1.5,22995
 T-Roc,2019,Semi-Auto,2860,Petrol,145,39.8,1.5,22495
 T-Roc,2018,Manual,19476,Petrol,150,42.2,1.5,21995
 T-Roc,2018,Manual,11398,Petrol,145,53.3,1.5,17899
 T-Roc,2018,Manual,8074,Petrol,145,55.4,1,16999
 T-Roc,2018,Manual,11877,Petrol,145,55.4,1,16999
 T-Roc,2018,Manual,17506,Petrol,145,55.4,1,16999
 T-Roc,2020,Semi-Auto,3000,Petrol,145,39.8,1.5,27499
 T-Roc,2018,Semi-Auto,8690,Petrol,145,41.5,2,22798
 T-Roc,2018,Manual,21800,Petrol,145,53.3,1.5,18999
 T-Roc,2019,Manual,4407,Diesel,145,50.4,1.6,19995
 T-Roc,2018,Manual,16817,Petrol,145,55.4,1,16799
 T-Roc,2019,Automatic,6000,Diesel,145,49.6,2,27499
 T-Roc,2018,Manual,9287,Petrol,145,53.3,1.5,21495
 T-Roc,2018,Manual,9600,Petrol,150,53.3,1.5,19995
 T-Roc,2019,Manual,5032,Diesel,145,50.4,2,21495
 T-Roc,2018,Manual,14058,Petrol,145,44.1,1,16999
 T-Roc,2018,Semi-Auto,6532,Petrol,145,41.5,2,23799
 T-Roc,2019,Manual,1780,Diesel,145,50.4,1.6,21290
 T-Roc,2018,Manual,2750,Petrol,145,53.3,1.5,19290
 T-Roc,2020,Manual,10,Petrol,145,44.1,1.5,26000
 T-Roc,2019,Manual,11372,Diesel,150,50.4,1.6,19445
 T-Roc,2018,Manual,20010,Petrol,145,44.1,1,16899
 T-Roc,2018,Manual,24093,Petrol,145,53.3,1.5,19800
 T-Roc,2018,Manual,14944,Petrol,145,53.3,1.5,17499
 T-Roc,2018,Manual,12506,Petrol,145,53.3,1.5,20199
 T-Roc,2020,Semi-Auto,1376,Petrol,145,32.5,2,35099
 T-Roc,2018,Manual,16077,Petrol,145,53.3,1.5,19299
 T-Roc,2018,Manual,18533,Petrol,145,55.4,1,17299
 T-Roc,2018,Manual,19619,Petrol,145,44.1,1,16499
 T-Roc,2019,Automatic,8000,Petrol,145,32.5,2,29699
 T-Roc,2018,Manual,16453,Petrol,145,44.1,1,17499
 T-Roc,2018,Semi-Auto,5756,Petrol,150,41.5,2,25995
 T-Roc,2019,Manual,6067,Petrol,150,44.1,1,18998
 T-Roc,2018,Semi-Auto,20500,Petrol,145,53.3,1.5,21490
 T-Roc,2020,Semi-Auto,2000,Diesel,150,49.6,2,29750
 T-Roc,2018,Manual,7942,Petrol,150,55.4,1,17250
 T-Roc,2019,Manual,9739,Petrol,150,42.2,1.5,19995
 T-Roc,2019,Manual,5309,Petrol,150,44.1,1,19495
 T-Roc,2019,Manual,12828,Petrol,150,42.2,1.5,19995
 T-Roc,2019,Manual,13557,Diesel,145,50.4,1.6,18995
 T-Roc,2019,Manual,4852,Diesel,150,50.4,1.6,22795
 T-Roc,2018,Manual,10467,Petrol,145,53.3,1.5,20295
 T-Roc,2019,Semi-Auto,6588,Diesel,145,49.6,2,24995
 T-Roc,2018,Manual,9287,Petrol,145,53.3,1.5,21495
 T-Roc,2018,Manual,34414,Petrol,150,53.3,1.5,18281
 T-Roc,2019,Manual,3500,Petrol,145,42.2,1.5,21095
 T-Roc,2018,Manual,26736,Petrol,145,53.3,1.5,19961
 T-Roc,2018,Manual,17693,Petrol,145,55.4,1,18232
 T-Roc,2019,Automatic,7988,Petrol,145,32.5,2,29690
 T-Roc,2020,Manual,2243,Petrol,145,44.1,1.5,24490
 T-Roc,2020,Manual,2000,Diesel,145,50.4,1.6,24250
 T-Roc,2020,Semi-Auto,2000,Petrol,145,39.8,1.5,26450
 T-Roc,2019,Manual,4116,Petrol,145,42.2,1.5,23995
 T-Roc,2018,Manual,3579,Petrol,145,55.4,1,17657
 T-Roc,2019,Manual,7102,Diesel,145,50.4,1.6,18500
 T-Roc,2020,Manual,2000,Petrol,145,42.2,1.5,26000
 T-Roc,2018,Semi-Auto,11273,Petrol,145,51.4,1.5,23995
 T-Roc,2020,Manual,3555,Diesel,145,50.4,2,22490
 T-Roc,2019,Semi-Auto,5221,Diesel,145,49.6,2,25196
 T-Roc,2020,Semi-Auto,375,Petrol,145,39.8,1.5,27995
 T-Roc,2019,Manual,4489,Diesel,145,50.4,1.6,20891
 T-Roc,2019,Manual,21599,Diesel,145,50.4,1.6,20995
 T-Roc,2018,Manual,25311,Petrol,145,53.3,1.5,17742
 T-Roc,2018,Manual,19235,Petrol,145,53.3,1.5,20492
 T-Roc,2019,Automatic,4296,Diesel,145,50.4,2,22791
 T-Roc,2019,Automatic,9475,Petrol,145,32.5,2,32490
 T-Roc,2019,Manual,9868,Diesel,145,50.4,1.6,22380
 T-Roc,2018,Manual,17521,Petrol,150,55.4,1,17941
 T-Roc,2020,Manual,1897,Petrol,145,44.1,1,21230
 T-Roc,2019,Manual,8350,Diesel,145,50.4,1.6,19690
 T-Roc,2019,Automatic,100,Petrol,145,32.5,2,32350
 T-Roc,2019,Manual,100,Diesel,145,50.4,2,20500
 T-Roc,2020,Semi-Auto,2000,Petrol,150,32.5,2,34995
 T-Roc,2019,Manual,5829,Petrol,145,42.2,1.5,20495
 T-Roc,2018,Manual,12894,Petrol,150,44.1,1,17000
 T-Roc,2018,Manual,18200,Petrol,150,53.3,1.5,17950
 T-Roc,2020,Manual,295,Petrol,145,42.2,1.5,25680
 T-Roc,2020,Manual,3000,Petrol,145,44.1,1.5,25500
 T-Roc,2018,Manual,11713,Petrol,145,53.3,1.5,19042
 T-Roc,2019,Automatic,5157,Diesel,145,50.4,2,23740
 T-Roc,2019,Automatic,3146,Petrol,145,32.5,2,32290
 T-Roc,2019,Manual,2520,Diesel,145,50.4,1.6,20991
 T-Roc,2019,Manual,5224,Diesel,145,50.4,1.6,22836
 T-Roc,2019,Manual,2819,Petrol,145,42.2,1.5,23995
 T-Roc,2020,Manual,1713,Petrol,145,44.1,1.5,25490
 T-Roc,2019,Semi-Auto,2339,Petrol,145,34.5,2,29236
 T-Roc,2019,Manual,9500,Petrol,150,42.2,1.5,19892
 T-Roc,2018,Manual,10977,Petrol,145,44.1,1,18952
 T-Roc,2018,Manual,11721,Petrol,145,53.3,1.5,21412
 T-Roc,2020,Semi-Auto,796,Petrol,145,39.8,1.5,27207
 T-Roc,2020,Semi-Auto,2051,Petrol,145,39.8,1.5,27507
 T-Roc,2019,Manual,2344,Diesel,145,46.3,2,22206
 T-Roc,2019,Manual,6230,Diesel,145,46.3,2,22026
 T-Roc,2019,Manual,11833,Petrol,150,44.1,1,18998
 T-Roc,2019,Manual,2030,Diesel,145,46.3,2,22262
 T-Roc,2019,Automatic,12400,Petrol,145,34.5,2,29100
 T-Roc,2019,Manual,20124,Diesel,145,50.4,1.6,20990
 T-Roc,2019,Manual,10986,Diesel,145,50.4,2,25990
 T-Roc,2018,Manual,10800,Petrol,145,55.4,1,15752
 T-Roc,2019,Semi-Auto,3381,Diesel,150,49.6,2,27291
 T-Roc,2019,Manual,4530,Diesel,150,50.4,2,23340
 T-Roc,2019,Manual,25,Diesel,145,50.4,1.6,20790
 T-Roc,2020,Semi-Auto,6500,Petrol,145,39.8,1.5,26995
 T-Roc,2018,Manual,23195,Petrol,145,53.3,1.5,20291
 T-Roc,2019,Manual,10,Diesel,145,50.4,1.6,20491
 T-Roc,2019,Manual,110,Diesel,145,50.4,2,21490
 T-Roc,2019,Manual,10,Diesel,145,50.4,1.6,20490
 T-Roc,2019,Manual,111,Diesel,145,50.4,2,20990
 T-Roc,2019,Manual,110,Diesel,145,46.3,2,23990
 T-Roc,2019,Semi-Auto,9366,Petrol,145,32.5,2,31991
 T-Roc,2019,Manual,100,Diesel,145,50.4,2,20990
 T-Roc,2019,Manual,2694,Diesel,145,50.4,2,22950
 T-Roc,2019,Manual,6222,Diesel,145,50.4,2,23490
 T-Roc,2019,Automatic,10824,Petrol,145,32.5,2,34991
 T-Roc,2019,Automatic,3404,Petrol,145,32.5,2,32998
 T-Roc,2020,Semi-Auto,1208,Diesel,145,50.4,2,25790
 T-Roc,2019,Manual,6315,Diesel,145,50.4,2,19090
 T-Roc,2019,Semi-Auto,1867,Petrol,145,39.8,1.5,23715
 T-Roc,2020,Manual,22462,Diesel,145,50.4,2,24590
 T-Roc,2020,Semi-Auto,1165,Diesel,145,50.4,2,24999
 T-Roc,2019,Automatic,6737,Diesel,145,50.4,2,24549
 T-Roc,2019,Manual,50,Diesel,145,50.4,2,21229
 T-Roc,2019,Manual,50,Diesel,145,50.4,2,21229
 T-Roc,2019,Manual,50,Diesel,145,50.4,2,21229
 T-Roc,2020,Manual,2920,Diesel,145,50.4,2,23590
 T-Roc,2019,Manual,5794,Diesel,145,50.4,2,22471
 T-Roc,2019,Semi-Auto,5528,Petrol,145,39.8,1.5,22410
 T-Roc,2019,Semi-Auto,4121,Diesel,150,49.6,2,24491
 T-Roc,2019,Semi-Auto,6830,Diesel,150,49.6,2,24291
 T-Roc,2019,Semi-Auto,6770,Diesel,150,49.6,2,25491
 T-Roc,2018,Manual,13500,Petrol,150,44.1,1,17499
 T-Roc,2019,Semi-Auto,5987,Petrol,145,32.5,2,31091
 T-Roc,2019,Semi-Auto,7445,Diesel,145,50.4,2,24491
 T-Roc,2019,Semi-Auto,3497,Petrol,145,39.8,1.5,23591
 T-Roc,2019,Manual,2987,Diesel,145,46.3,2,21191
 T-Roc,2019,Manual,7054,Diesel,145,46.3,2,21691
 T-Roc,2019,Semi-Auto,2515,Petrol,145,32.5,2,33000
 T-Roc,2020,Semi-Auto,2000,Petrol,150,32.5,2,32995
 T-Roc,2019,Semi-Auto,5250,Petrol,150,39.8,1.5,25995
 T-Roc,2019,Semi-Auto,2507,Petrol,145,39.8,1.5,25542
 T-Roc,2019,Manual,15996,Petrol,150,44.1,1,18995
 T-Roc,2018,Manual,6165,Petrol,150,53.3,1.5,19995
 T-Roc,2018,Manual,12850,Petrol,145,55.4,1,17995
 T-Roc,2019,Manual,12000,Diesel,150,50.4,1.6,20995
 T-Roc,2019,Manual,5500,Diesel,150,50.4,1.6,17495
 T-Roc,2018,Manual,15239,Petrol,145,55.4,1,17400
 T-Roc,2020,Manual,4822,Diesel,145,51.4,1.6,19541
 T-Roc,2019,Manual,5599,Diesel,145,50.4,2,21290
 T-Roc,2019,Semi-Auto,6992,Diesel,150,49.6,2,21990
 T-Roc,2019,Manual,5211,Diesel,150,50.4,2,22940
 T-Roc,2019,Manual,3500,Petrol,145,53.3,1.5,21991
 T-Roc,2019,Manual,3254,Diesel,150,50.4,2,22990
 T-Roc,2020,Manual,2000,Petrol,145,44.1,1.5,24990
 T-Roc,2018,Automatic,12188,Petrol,145,41.5,2,23750
 T-Roc,2018,Manual,35100,Petrol,145,53.3,1.5,19190
 T-Roc,2020,Semi-Auto,3500,Diesel,145,49.6,2,26790
 T-Roc,2019,Automatic,5195,Petrol,145,32.5,2,32990
 T-Roc,2018,Manual,9922,Petrol,145,53.3,1.5,18990
 T-Roc,2019,Manual,3720,Diesel,145,46.3,2,21676
 T-Roc,2018,Manual,9000,Diesel,150,50.4,1.6,18791
 T-Roc,2018,Manual,15597,Petrol,150,53.3,1.5,18491
 T-Roc,2020,Manual,799,Petrol,145,44.1,1.5,24490
 T-Roc,2018,Manual,17588,Petrol,145,53.3,1.5,21092
 T-Roc,2019,Manual,73,Diesel,145,50.4,2,20490
 T-Roc,2019,Semi-Auto,1409,Petrol,145,32.5,2,33074
 T-Roc,2019,Semi-Auto,1293,Petrol,145,39.8,1.5,27201
 T-Roc,2018,Manual,8000,Petrol,150,53.3,1.5,21401
 T-Roc,2019,Manual,4045,Diesel,145,50.4,2,22501
 T-Roc,2019,Manual,3500,Petrol,145,42.2,1.5,23390
 T-Roc,2019,Automatic,187,Diesel,145,49.6,2,24990
 T-Roc,2020,Manual,3500,Petrol,145,42.2,1.5,25990
 T-Roc,2019,Semi-Auto,15134,Petrol,145,39.8,1.5,23995
 T-Roc,2019,Manual,3886,Diesel,145,50.4,2,22065
 T-Roc,2019,Semi-Auto,5497,Diesel,150,49.6,2,24750
 T-Roc,2019,Semi-Auto,5812,Diesel,150,49.6,2,25000
 T-Roc,2019,Semi-Auto,1986,Petrol,145,39.8,1.5,26500
 T-Roc,2018,Manual,12894,Petrol,145,44.1,1,17250
 T-Roc,2020,Semi-Auto,2000,Petrol,150,32.5,2,35000
 T-Roc,2020,Manual,2000,Petrol,145,42.2,1.5,25500
 T-Roc,2019,Manual,6608,Diesel,145,50.4,1.6,20912
 T-Roc,2018,Automatic,10424,Petrol,145,41.5,2,22500
 T-Roc,2020,Manual,4,Diesel,145,50.4,1.6,22495
 T-Roc,2018,Semi-Auto,11941,Petrol,145,52.3,1.5,19998
 T-Roc,2019,Manual,2681,Diesel,145,50.4,1.6,20906
 T-Roc,2019,Manual,14685,Diesel,150,50.4,1.6,21995
 T-Roc,2019,Automatic,1278,Petrol,145,34.5,2,30490
 T-Roc,2019,Automatic,8045,Petrol,145,32.5,2,32990
 T-Roc,2019,Manual,3744,Diesel,145,46.3,2,22625
 T-Roc,2019,Automatic,4064,Diesel,145,50.4,2,22791
 T-Roc,2019,Manual,8666,Diesel,145,50.4,1.6,20500
 T-Roc,2019,Automatic,5309,Petrol,145,39.8,1.5,23490
 T-Roc,2019,Manual,10375,Diesel,145,50.4,1.6,20225
 T-Roc,2019,Manual,50,Petrol,145,42.2,1.5,22150
 T-Roc,2019,Manual,3633,Diesel,145,50.4,1.6,22390
 T-Roc,2018,Manual,6389,Petrol,145,42.2,1.5,20995
 T-Roc,2019,Manual,4637,Diesel,145,50.4,1.6,22990
 T-Roc,2018,Manual,13996,Petrol,145,55.4,1,16995
 T-Roc,2020,Semi-Auto,12343,Petrol,150,39.8,1.5,26490
 T-Roc,2018,Manual,14276,Petrol,150,55.4,1,16995
 T-Roc,2018,Manual,16458,Diesel,150,50.4,1.6,17995
 T-Roc,2019,Manual,5552,Diesel,145,50.4,2,24995
 T-Roc,2018,Manual,7968,Diesel,145,50.4,1.6,19995
 T-Roc,2019,Automatic,1000,Petrol,145,32.5,2,30995
 T-Roc,2018,Manual,18490,Petrol,145,55.4,1,18490
 T-Roc,2019,Semi-Auto,2513,Diesel,145,49.6,2,22495
 T-Roc,2018,Semi-Auto,23123,Petrol,150,51.4,1.5,22490
 T-Roc,2019,Manual,9087,Diesel,145,50.4,1.6,18495
 T-Roc,2020,Manual,1000,Petrol,145,42.2,1.5,25495
 T-Roc,2019,Manual,5000,Diesel,145,50.4,2,22900
 T-Roc,2018,Manual,8554,Diesel,145,50.4,1.6,19595
 T-Roc,2018,Manual,22930,Petrol,145,53.3,1.5,18900
 T-Roc,2019,Semi-Auto,6687,Petrol,145,39.8,1.5,22474
 T-Roc,2020,Manual,13952,Petrol,150,44.1,1,19644
 T-Roc,2018,Manual,11877,Petrol,145,55.4,1,18900
 T-Roc,2019,Manual,4987,Diesel,145,50.4,1.6,19987
 T-Roc,2019,Manual,2000,Diesel,145,50.4,1.6,19697
 T-Roc,2019,Manual,2000,Diesel,145,50.4,2,21128
 T-Roc,2018,Manual,18849,Petrol,150,55.4,1,17771
 T-Roc,2018,Semi-Auto,35624,Petrol,145,51.4,1.5,20995
 T-Roc,2018,Automatic,6012,Petrol,145,39.8,1.5,22052
 T-Roc,2019,Semi-Auto,3387,Petrol,145,39.8,1.5,22446
 T-Roc,2019,Automatic,7671,Petrol,145,32.5,2,32990
 T-Roc,2018,Manual,13431,Petrol,150,55.4,1,17551
 T-Roc,2019,Manual,3244,Petrol,145,42.2,1.5,21990
 T-Roc,2019,Manual,5262,Petrol,145,44.1,1,19490
 T-Roc,2019,Manual,4360,Diesel,145,50.4,1.6,20990
 T-Roc,2019,Semi-Auto,2966,Petrol,145,39.8,1.5,22990
 T-Roc,2019,Manual,4532,Petrol,145,42.2,1.5,21490
 T-Roc,2020,Semi-Auto,2503,Petrol,145,34.5,2,29990
 T-Roc,2019,Semi-Auto,3037,Petrol,150,39.8,1.5,26490
 T-Roc,2019,Manual,10,Diesel,145,50.4,2,20990
 T-Roc,2019,Manual,3080,Diesel,145,50.4,1.6,20990
 T-Roc,2019,Manual,8028,Diesel,145,50.4,1.6,22330
 T-Roc,2018,Semi-Auto,14399,Petrol,150,39.8,1.5,22499
 T-Roc,2018,Manual,11000,Diesel,150,56.5,2,20950
 T-Roc,2019,Manual,2023,Diesel,145,50.4,1.6,19817
 T-Roc,2018,Manual,21065,Petrol,145,53.3,1.5,18995
 T-Roc,2020,Manual,1000,Petrol,150,44.1,1.5,25450
 T-Roc,2020,Semi-Auto,3000,Petrol,145,34.5,2,31850
 T-Roc,2020,Semi-Auto,2000,Petrol,145,32.5,2,38990
 T-Roc,2020,Semi-Auto,3000,Petrol,145,39.8,1.5,28990
